end_time,artist_name,track_name,ms_played
2021-03-27 21:11,Justin Bieber,Love You Different (feat. BEAM),186696
2021-03-27 21:14,Justin Bieber,Loved By You (feat. Burna Boy),159250
2021-03-27 21:15,Justin Bieber,Anyone,76524
2021-03-27 21:18,Justin Bieber,2 Much,152796
2021-03-27 21:21,Justin Bieber,Deserve You,187239
2021-03-27 21:24,Justin Bieber,As I Am (feat. Khalid),174406
2021-03-27 21:27,Justin Bieber,Off My Face,156468
2021-03-27 21:30,Justin Bieber,Holy (feat. Chance The Rapper),212093
2021-03-27 21:33,Justin Bieber,Unstable (feat. The Kid LAROI),158324
2021-03-27 21:34,Justin Bieber,MLK Interlude,104008
2021-03-27 21:38,Justin Bieber,Die For You (feat. Dominic Fike),198426
2021-03-27 21:41,Justin Bieber,Hold On,170813
2021-03-27 21:44,Justin Bieber,Hold On,170813
2021-03-27 21:47,Justin Bieber,Hold On,170813
2021-03-27 21:50,Justin Bieber,Somebody,179415
2021-03-27 21:52,Justin Bieber,Ghost,122356
2021-03-27 21:55,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),198082
2021-03-27 21:58,Justin Bieber,Love You Different (feat. BEAM),186696
2021-03-27 22:01,Justin Bieber,Loved By You (feat. Burna Boy),159250
2021-03-27 22:04,Justin Bieber,Anyone,190779
2021-03-27 22:07,Justin Bieber,Lonely (with benny blanco),149190
2021-03-27 22:09,Justin Bieber,All Around Me,136907
2021-03-27 22:10,Justin Bieber,Habitual,32458
2021-03-27 22:12,Justin Bieber,Mark My Words,134347
2021-03-27 22:15,Justin Bieber,I'll Show You,199947
2021-03-27 22:19,Justin Bieber,What Do You Mean?,205680
2021-03-27 22:22,Justin Bieber,Sorry,200787
2021-03-27 22:26,Justin Bieber,Love Yourself,233720
2021-03-27 22:29,Justin Bieber,Company,208120
2021-03-27 22:34,Justin Bieber,No Pressure,286853
2021-03-27 22:39,Justin Bieber,No Sense,275040
2021-03-27 22:43,Justin Bieber,The Feeling,244907
2021-03-27 22:47,Justin Bieber,Life Is Worth Living,234787
2021-03-27 22:51,Jack Ü,Where Are Ü Now (with Justin Bieber),250286
2021-03-27 22:55,Justin Bieber,Children,223333
2021-03-27 22:58,Justin Bieber,Purpose,210160
2021-03-27 23:01,Justin Bieber,Been You,199227
2021-03-27 23:05,Justin Bieber,Get Used To It,238133
2021-03-27 23:09,Justin Bieber,We Are,202960
2021-03-27 23:12,Justin Bieber,Trust,203613
2021-03-27 23:16,Justin Bieber,All In It,231413
2021-03-27 23:19,Justin Bieber,What Do You Mean? - Acoustic,203800
2021-03-27 23:24,Justin Bieber,Heartbreaker,262840
2021-03-27 23:27,Justin Bieber,All That Matters,191173
2021-03-28 00:31,Justin Bieber,Hold Tight,83521
2021-03-29 07:30,Justin Bieber,Hold On,170813
2021-03-29 07:30,Justin Bieber,Anyone,1380
2021-03-29 07:34,NF,CLOUDS,243760
2021-03-29 07:38,NF,THAT'S A JOKE,229656
2021-03-29 07:41,NF,JUST LIKE YOU,187223
2021-03-29 07:42,NF,STORY,73909
2021-03-29 07:44,BROCKHAMPTON,SUGAR,2506
2021-03-29 07:44,BROCKHAMPTON,BUZZCUT (feat. Danny Brown),106048
2021-03-29 07:46,KennyHoopla,estella//,118733
2021-03-29 07:57,Moose Blood,Gum,1365
2021-04-02 08:03,Probable Causation,Episode 47: Greg Midgette on the 24/7 Sobriety program,2050560
2021-04-03 20:26,Justin Bieber,2 Much,152796
2021-04-03 20:29,Justin Bieber,Deserve You,187238
2021-04-03 20:32,Justin Bieber,As I Am (feat. Khalid),174406
2021-04-03 20:34,Justin Bieber,Off My Face,156467
2021-04-03 20:35,Justin Bieber,Holy (feat. Chance The Rapper),44930
2021-04-03 20:38,Justin Bieber,Unstable (feat. The Kid LAROI),158324
2021-04-03 20:39,Justin Bieber,MLK Interlude,104007
2021-04-03 20:43,Justin Bieber,Die For You (feat. Dominic Fike),198425
2021-04-03 20:46,Justin Bieber,Hold On,170813
2021-04-03 20:49,Justin Bieber,Somebody,179414
2021-04-03 20:51,Justin Bieber,Ghost,153190
